Bad Guy ID,Bank,Attack Level,Strategy,Last Action,Steals,Turns
0,19130.592,189,random,steal,211,400
1,1.7331839999999985,133,attack_poor,steal,267,400
2,28817.587999999996,194,random,research,206,400
3,7953.9344,200,one-one,research,200,400
4,27846.482,178,random,research,222,400
5,72754.37552,133,attack_rich,steal,267,400
6,9225.14712,133,att-att-res,steal,267,400
7,33982.91271999999,133,attack_strong,steal,267,400
8,15629.344000000001,133,attack_strong,steal,267,400
9,11155.7456,133,attack_rich,steal,267,400
10,8242.491999999998,133,attack_strong,steal,267,400
11,24081.74296,214,random,research,186,400
12,6364.270399999999,133,attack_strong,steal,267,400
13,9225.126096,133,att-att-res,steal,267,400
14,9204.841744000001,133,att-att-res,steal,267,400
15,5630.98,133,attack_rich,steal,267,400
16,4937.9839999999995,133,attack_strong,steal,267,400
17,4222.896,133,attack_rich,steal,267,400
18,9124.802936,133,att-att-res,steal,267,400
19,4207.2119999999995,133,attack_strong,steal,267,400
20,9114.037400000001,133,att-att-res,steal,267,400
21,3056.372,133,attack_rich,steal,267,400
22,3.4811639999999975,133,attack_poor,steal,267,400
23,3053.2239999999997,133,attack_strong,steal,267,400
24,26584.251984000002,212,random,research,188,400
25,2779.2439999999997,133,attack_rich,steal,267,400
26,7721.8722,200,one-one,research,200,400
27,29838.929600000003,204,random,steal,196,400
28,8973.803730399999,133,att-att-res,steal,267,400
29,7651.8722,200,one-one,research,200,400
30,8898.135696000001,133,att-att-res,steal,267,400
31,7570.526879999999,200,one-one,research,200,400
32,2815.7639999999997,133,attack_strong,steal,267,400
33,8805.508460288,133,att-att-res,steal,267,400
34,7418.5116,200,one-one,research,200,400
35,8652.628464,133,att-att-res,steal,267,400
36,7178.4614,200,one-one,research,200,400
37,0.34811639999999916,133,attack_poor,steal,267,400
38,7038.4565999999995,200,one-one,research,200,400
39,0.03481163999999989,133,attack_poor,steal,267,400
40,0.003481163999999985,133,attack_poor,steal,267,400
41,8460.039696,133,att-att-res,steal,267,400
42,2124.604,133,attack_rich,steal,267,400
43,8386.223296,133,att-att-res,steal,267,400
44,6717.7766,200,one-one,research,200,400
45,6587.7734,200,one-one,research,200,400
46,1949.6359999999997,133,attack_strong,steal,267,400
47,1844.808,133,attack_strong,steal,267,400
48,0.0003481163999999981,133,attack_poor,steal,267,400
49,3.481163999999976e-05,133,attack_poor,steal,267,400
50,1735.908,133,attack_rich,steal,267,400
51,1783.908,133,attack_rich,steal,267,400
52,6476.1781040000005,200,one-one,research,200,400
53,24016.162,203,random,research,197,400
54,32555.321200000002,218,random,steal,182,400
55,6355.37436,200,one-one,research,200,400
56,3.4811639999999713e-06,133,attack_poor,steal,267,400
57,1723.1080000000002,133,attack_strong,steal,267,400
58,7976.256096,133,att-att-res,steal,267,400
59,1992.908,133,attack_rich,steal,267,400
60,3.4811639999999676e-07,133,attack_poor,steal,267,400
61,2015.808,133,attack_rich,steal,267,400
62,7966.766352000001,133,att-att-res,steal,267,400
63,6229.206856,200,one-one,research,200,400
64,1991.5080000000003,133,attack_rich,steal,267,400
65,2167.218,133,attack_rich,steal,267,400
66,3.481163999999963e-08,133,attack_poor,steal,267,400
67,6178.094584,200,one-one,research,200,400
68,3.481163999999958e-09,133,attack_poor,steal,267,400
69,3.4811639999999553e-10,133,attack_poor,steal,267,400
70,6082.791816,200,one-one,research,200,400
71,3.4811639999999487e-11,133,attack_poor,steal,267,400
72,6051.0615550719995,200,one-one,research,200,400
73,5978.467296,200,one-one,research,200,400
74,5928.379504,200,one-one,research,200,400
75,7945.3954023999995,133,att-att-res,steal,267,400
76,7937.978032,133,att-att-res,steal,267,400
77,3.4811639999999426e-12,133,attack_poor,steal,267,400
78,5856.726463999999,200,one-one,research,200,400
79,2211.5600000000004,133,attack_strong,steal,267,400
80,3.481163999999939e-13,133,attack_poor,steal,267,400
81,1496.34,133,attack_rich,steal,267,400
82,5754.9360496,200,one-one,research,200,400
83,20793.232040000003,185,random,research,215,400
84,1119.68,133,attack_rich,steal,267,400
85,22635.6984,199,random,steal,201,400
86,985.0,133,attack_rich,steal,267,400
87,5673.884892,200,one-one,research,200,400
88,5502.8496,200,one-one,research,200,400
89,983.3800000000001,133,attack_rich,steal,267,400
90,0.0,133,attack_poor,steal,267,400
91,26271.1932,204,random,steal,196,400
92,7812.10944,133,att-att-res,steal,267,400
93,7707.48496,133,att-att-res,steal,267,400
94,20163.528,193,random,research,207,400
95,0.0,133,attack_poor,steal,267,400
96,30489.883456,202,random,steal,198,400
97,0.0,133,attack_poor,steal,267,400
