Good Guy ID,Bank,Defense Level,Strategy,Last Action,Attack Count,Turns
0,8.0,99,late_planner,defense,1,100
1,150.0,1,not_weakest,money,238,100
2,330,67,two_one_two,defense,0,100
3,60.0,1,not_weakest,money,147,100
4,330,67,two_one_two,defense,0,100
5,8.0,99,late_planner,defense,1,100
6,28.0,97,analyst,defense,3,100
7,150.0,1,not_weakest,money,4,100
8,28.0,97,analyst,defense,2,100
9,315.43999999999994,33,one_two_one,money,3,100
10,8.0,99,late_planner,defense,1,100
11,28.0,97,analyst,defense,2,100
12,578.0,42,random,money,1,100
13,330.0,67,two_one_two,defense,1,100
14,330.0,67,two_one_two,defense,2,100
15,110.0,33,one_two_one,money,75,100
16,30.0,0,copycat,money,878,100
17,28.0,97,analyst,defense,1,100
18,350.0,1,not_weakest,money,125,100
19,10.0,99,be_strongest,defense,4,100
20,8.0,99,late_planner,defense,1,100
21,501.584,33,one_two_one,money,4,100
22,30.0,33,one_two_one,money,61,100
23,330.0,67,two_one_two,defense,1,100
24,10.0,0,copycat,money,18,100
25,10.0,0,copycat,money,701,100
26,28.0,97,analyst,defense,2,100
27,8.0,99,late_planner,defense,3,100
28,20.0,0,copycat,money,565,100
29,230.0,33,one_two_one,money,3,100
30,20.0,0,copycat,money,17,100
31,500.23999999999995,33,one_two_one,money,3,100
32,28.0,97,analyst,defense,1,100
33,30.0,33,one_two_one,money,67,100
34,360.0,33,one_two_one,money,74,100
35,28.0,97,analyst,defense,1,100
36,10.0,0,copycat,money,17,100
37,30.0,0,copycat,money,263,100
38,150.0,1,not_weakest,money,4,100
39,488.0,49,random,defense,81,100
40,280.0,1,not_weakest,money,4,100
41,525.52,33,one_two_one,money,3,100
42,30.0,0,copycat,money,20,100
43,270.88,33,one_two_one,money,3,100
44,30.0,0,copycat,money,17,100
45,90.0,1,not_weakest,money,5,100
46,30.0,0,copycat,money,48,100
47,10.0,99,be_strongest,defense,2,100
48,10,99,be_strongest,defense,0,100
49,10.0,99,be_strongest,defense,3,100
50,8.0,99,late_planner,defense,2,100
51,330.0,67,two_one_two,defense,1,100
52,600.0,1,not_weakest,money,83,100
53,8.0,99,late_planner,defense,1,100
54,28.0,97,analyst,defense,4,100
55,10.0,99,be_strongest,defense,2,100
56,300.0,1,not_weakest,money,18,100
57,30.0,0,copycat,money,17,100
58,28.0,97,analyst,defense,2,100
59,180.0,1,not_weakest,money,8,100
60,10.0,99,be_strongest,defense,1,100
61,440.0,56,random,money,1,100
62,10,99,be_strongest,defense,0,100
63,8.0,99,late_planner,defense,2,100
64,330.0,67,two_one_two,defense,2,100
65,10.0,0,copycat,money,19,100
66,180.0,33,one_two_one,money,3,100
67,8.0,99,late_planner,defense,2,100
68,28.0,97,analyst,defense,4,100
69,316.0,67,two_one_two,defense,2,100
