Good Guy ID,Bank,Defense Level,Strategy,Last Action,Attack Count,Turns
0,28.0,397,analyst,defense,11,400
1,1760.0,197,random,defense,621,400
2,10.0,0,copycat,money,1873,400
3,1330.0,267,two_one_two,defense,8,400
4,1330.0,267,two_one_two,defense,5,400
5,20.0,398,be_strongest,defense,4,400
6,28.0,397,analyst,defense,7,400
7,25.2,397,analyst,defense,4,400
8,8.0,399,late_planner,defense,5,400
9,1430.0,133,one_two_one,money,5,400
10,10.0,399,be_strongest,defense,6,400
11,750.0,133,one_two_one,money,8,400
12,8.0,399,late_planner,defense,8,400
13,8.0,399,late_planner,defense,3,400
14,1290.0,1,copycat,money,114,400
15,2016.8,181,random,defense,38,400
16,2016.4,194,random,money,4,400
17,220.0,133,one_two_one,money,8,400
18,0.0,1,copycat,defense,336,400
19,1848.8,207,random,money,6,400
20,10.0,399,be_strongest,defense,5,400
21,28.0,397,analyst,defense,3,400
22,10.0,0,copycat,money,286,400
23,850.0,133,one_two_one,money,84,400
24,8.0,399,late_planner,defense,3,400
25,430.0,133,one_two_one,money,43,400
26,10.0,399,be_strongest,defense,5,400
27,210.0,1,not_weakest,money,134,400
28,10.0,0,copycat,money,352,400
29,8.0,399,late_planner,defense,4,400
30,1633.0,201,random,money,41,400
31,28.0,397,analyst,defense,4,400
32,10.0,399,be_strongest,defense,5,400
33,1330.0,267,two_one_two,defense,7,400
34,1330.0,267,two_one_two,defense,5,400
35,10.0,399,be_strongest,defense,5,400
36,10.0,399,be_strongest,defense,2,400
37,270.0,1,not_weakest,money,99,400
38,10.0,1,copycat,money,121,400
39,1330.0,267,two_one_two,defense,2,400
40,28.0,397,analyst,defense,3,400
41,1330.0,267,two_one_two,defense,9,400
42,8.0,399,late_planner,defense,8,400
43,1938.0,206,random,money,9,400
44,270.0,187,random,money,138,400
45,10.0,0,copycat,money,250,400
46,470.0,1,copycat,money,160,400
47,28.0,397,analyst,defense,6,400
48,10.0,399,be_strongest,defense,2,400
49,450.0,1,not_weakest,money,104,400
50,1412.8,193,random,money,2,400
51,28.0,397,analyst,defense,10,400
52,1766.4,214,random,money,2,400
53,10.0,0,copycat,money,316,400
54,28.0,397,analyst,defense,10,400
55,1330.0,267,two_one_two,defense,6,400
56,300.4,196,random,defense,11,400
57,10.0,399,be_strongest,defense,4,400
58,10.0,0,copycat,money,207,400
59,1848.0,213,random,defense,5,400
60,10.0,399,be_strongest,defense,7,400
61,28.0,397,analyst,defense,3,400
62,8.0,399,late_planner,defense,10,400
63,490.0,133,one_two_one,money,31,400
64,28.0,397,analyst,defense,12,400
65,10.0,399,be_strongest,defense,5,400
66,852.5,204,random,money,4,400
67,10.0,0,copycat,money,220,400
68,1068.248,204,random,defense,5,400
69,440.0,1,not_weakest,money,67,400
70,28.0,397,analyst,defense,5,400
71,1330.0,267,two_one_two,defense,6,400
72,1330.0,267,two_one_two,defense,3,400
73,1400.0,1,not_weakest,money,74,400
74,1330.0,267,two_one_two,defense,5,400
75,1174.8,208,random,defense,6,400
76,1352.7992,202,random,money,5,400
77,8.0,399,late_planner,defense,5,400
78,28.0,397,analyst,defense,4,400
79,1330.0,267,two_one_two,defense,3,400
80,1630.0,1,not_weakest,money,34,400
81,10.0,399,be_strongest,defense,5,400
82,690.0,1,not_weakest,money,113,400
83,28.0,397,analyst,defense,10,400
84,356.0,189,random,money,10,400
85,1998.0,200,random,defense,4,400
86,1569.2,191,random,defense,2,400
87,28.0,397,analyst,defense,7,400
88,0.0,1,not_weakest,money,43,400
89,2160.0,1,not_weakest,money,55,400
90,110.0,1,not_weakest,money,60,400
91,300.0,1,not_weakest,money,23,400
92,340.0,198,random,money,84,400
93,10.0,399,be_strongest,defense,6,400
94,8.0,399,late_planner,defense,5,400
95,6.4,399,late_planner,defense,356,400
96,350.0,1,not_weakest,money,48,400
97,10.0,399,be_strongest,defense,2,400
